"","cod_ibge","ano","mes","qtd_familias_beneficiarias_bolsa_familia","valor_repassado_bolsa_familia"
"1",510340,2004,1,4272,318510
"2",510340,2004,2,4272,318510
"3",510340,2004,3,4272,318510
"4",510340,2004,4,4272,315615
"5",510340,2004,5,9988,639850
"6",510340,2004,6,9994,639215
"7",510340,2004,7,9985,637715
"8",510340,2004,8,12175,775675
"9",510340,2004,9,12487,794575
"10",510340,2004,10,12684,799948
"11",510340,2004,11,13388,823943
"12",510340,2004,12,14924,948769
"13",510340,2005,1,14934,938874
"14",510340,2005,2,14907,937474
"15",510340,2005,3,14907,937474
"16",510340,2005,4,14964,939435
"17",510340,2005,5,15752,990815
"18",510340,2005,6,15731,990300
"19",510340,2005,7,16057,1006745
"20",510340,2005,8,16581,1040366
"21",510340,2005,9,16581,1040366
"22",510340,2005,10,17168,1087387
"23",510340,2005,11,18993,1159099
"24",510340,2005,12,19885,1211213
"25",510340,2006,1,19646,1184095
"26",510340,2006,2,19662,1184538
"27",510340,2006,3,19640,1183014
"28",510340,2006,4,19649,1183688
"29",510340,2006,5,19249,1129053
"30",510340,2006,6,21305,1254471
"31",510340,2006,7,21121,1214874
"32",510340,2006,8,21087,1213579
"33",510340,2006,9,20962,1204875
"34",510340,2006,10,20967,1207390
"35",510340,2006,11,21026,1212630
"36",510340,2006,12,20279,1191421
"37",510340,2007,1,20120,1198310
"38",510340,2007,2,20138,1193427
"39",510340,2007,3,20143,1193506
"40",510340,2007,4,20088,1188830
"41",510340,2007,5,20113,1189789
"42",510340,2007,6,18727,1118596
"43",510340,2007,7,18896,1129115
"44",510340,2007,8,19079,1334535
"45",510340,2007,9,19059,1323774
"46",510340,2007,10,18655,1295774
"47",510340,2007,11,18657,1295236
"48",510340,2007,12,18654,1291803
"49",510340,2008,1,18178,1260128
"50",510340,2008,2,17964,1245862
"51",510340,2008,3,17526,1241776
"52",510340,2008,4,17517,1246156
"53",510340,2008,5,16381,1149695
"54",510340,2008,6,15893,1093258
"55",510340,2008,7,15519,1146864
"56",510340,2008,8,14912,1075068
"57",510340,2008,9,17767,1402618
"58",510340,2008,10,17529,1353057
"59",510340,2008,11,17612,1358841
"60",510340,2008,12,17052,1324258
"61",510340,2009,1,18959,1411635
"62",510340,2009,2,17989,1360599
"63",510340,2009,3,17451,1327308
"64",510340,2009,4,18069,1368716
"65",510340,2009,5,18043,1367100
"66",510340,2009,6,17748,1390048
"67",510340,2009,7,17619,1361318
"68",510340,2009,8,21220,1534980
"69",510340,2009,9,20516,1617830
"70",510340,2009,10,24409,1792879
"71",510340,2009,11,24169,1771643
"72",510340,2009,12,23709,1749686
"73",510340,2010,1,23143,1664653
"74",510340,2010,2,22974,1617346
"75",510340,2010,3,22898,1625805
"76",510340,2010,4,22928,1639186
"77",510340,2010,5,22526,1617483
"78",510340,2010,6,22553,1633105
"79",510340,2010,7,22239,1629257
"80",510340,2010,8,22246,1648230
"81",510340,2010,9,22258,1705500
"82",510340,2010,10,21413,1798545
"83",510340,2010,11,20454,1578830
"84",510340,2010,12,21729,1700026
"85",510340,2011,1,21519,1657375
"86",510340,2011,2,20706,1627804
"87",510340,2011,3,20578,1621452
"88",510340,2011,4,20691,2072707
"89",510340,2011,5,20622,2110091
"90",510340,2011,6,20635,2124195
"91",510340,2011,7,20662,2128903
"92",510340,2011,8,20393,2152929
"93",510340,2011,9,20764,2297617
"94",510340,2011,10,21043,2337251
"95",510340,2011,11,21141,2389085
"96",510340,2011,12,21230,2418323
"97",510340,2012,1,21275,2363461
"98",510340,2012,2,21486,2390657
"99",510340,2012,3,21436,2427145
"100",510340,2012,4,21650,2477307
"101",510340,2012,5,21915,2523345
"102",510340,2012,6,21930,2630111
"103",510340,2012,7,22672,2706721
"104",510340,2012,8,23761,2836617
"105",510340,2012,9,23566,2828579
"106",510340,2012,10,23655,2858741
"107",510340,2012,11,23894,2875517
"108",510340,2012,12,24039,2918203
"109",510340,2013,1,23797,2843055
"110",510340,2013,2,23197,2784280
"111",510340,2013,3,23193,2804898
"112",510340,2013,4,22767,2764180
"113",510340,2013,5,23604,2888614
"114",510340,2013,6,23406,2885320
"115",510340,2013,7,23421,2883342
"116",510340,2013,8,23105,2862300
"117",510340,2013,9,23852,2920614
"118",510340,2013,10,23830,2927804
"119",510340,2013,11,23537,2883156
"120",510340,2013,12,25633,3040628
"121",510340,2014,1,25313,2924280
"122",510340,2014,2,25738,2973642
"123",510340,2014,3,25301,2911082
"124",510340,2014,4,25399,2900056
"125",510340,2014,5,25149,2872922
"126",510340,2014,6,25352,3281387
"127",510340,2014,7,24921,3273786
"128",510340,2014,8,24476,3240907
"129",510340,2014,9,24530,3243012
"130",510340,2014,10,24559,3251272
"131",510340,2014,11,24575,3237228
"132",510340,2014,12,24479,3217179
"133",510340,2015,1,24418,3158976
"134",510340,2015,2,24463,3173204
"135",510340,2015,3,24395,3170080
"136",510340,2015,4,22703,2932835
"137",510340,2015,5,22709,2943637
"138",510340,2015,6,22675,2938508
"139",510340,2015,7,22704,2956961
"140",510340,2015,8,22603,2947518
"141",510340,2015,9,23394,3012740
"142",510340,2015,10,24368,3003451
"143",510340,2015,11,23631,2890544
"144",510340,2015,12,23903,2932346
"145",510340,2016,1,22103,2646763
"146",510340,2016,2,22068,2604377
"147",510340,2016,3,20843,2444970
"148",510340,2016,4,20915,2451224
"149",510340,2016,5,20791,2441937
"150",510340,2016,6,20655,2436263
"151",510340,2016,7,20988,2802861
"152",510340,2016,8,20797,2789923
"153",510340,2016,9,20543,2725496
"154",510340,2016,10,21039,2787681
"155",510340,2016,11,20450,2763382
"156",510340,2016,12,20351,2628730
"157",510340,2017,1,19374,2433539
"158",510340,2017,2,19485,2497531
"159",510340,2017,3,19421,2439014
"160",510340,2017,4,19486,2454420
"161",510340,2017,5,18686,2387720
"162",510340,2017,6,18549,2379824
"163",510340,2017,7,18167,2317610
"164",510340,2017,8,18668,2366207
"165",510340,2017,9,18553,2339790
"166",510340,2017,10,18761,2339489
"167",510340,2017,11,18761,2357071
"168",510340,2017,12,19073,2386649
"169",510340,2018,1,19499,2412143
"170",510340,2018,2,19754,2420862
"171",510340,2018,3,20121,2462008
"172",510340,2018,4,19221,2352691
"173",510340,2018,5,19516,2417901
"174",510340,2018,6,19678,2424904
"175",510340,2018,7,20171,2662660
"176",510340,2018,8,20708,2708694
"177",510340,2018,9,21030,2754287
"178",510340,2018,10,21569,2823417
"179",510340,2018,11,22235,2906266
"180",510340,2018,12,21902,2844159
"181",510340,2019,1,20857,2731994
"182",510340,2019,2,21218,2775125
"183",510340,2019,3,21669,2819575
"184",510340,2019,4,21617,2823408
"185",510340,2019,5,22105,2899213
"186",510340,2019,6,21406,2807990
"187",510340,2019,7,20725,2758298
"188",510340,2019,8,20713,2775998
"189",510340,2019,9,20054,2703537
"190",510340,2019,10,19990,2701246
"191",510340,2019,11,19440,2657937
"192",510340,2019,12,19357,2653218
